ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,Unnamed: 13,corr_round,fh_status
Andorra,1.0,,,25.0,0,0,0,0,0,0,1.30776669040672,,1.31,free
Antigua and Barbuda,2.5,,,16.67,0,0,1,0,0,0,1.20821391940379,,1.21,free
Argentina,2.0,8.0,48.8,39.76,0,1,0,0,0,0,-0.420792604806339,,-0.42,free
Australia,1.0,10.0,35.2,29.65,0,0,0,0,0,0,1.97929304224882,,1.98,free
Austria,1.0,10.0,29.1,26.64,0,0,0,0,0,0,1.90384092809486,,1.9,free
"Bahamas, The",1.0,,,25.0,0,0,1,0,0,0,1.36312197975176,,1.36,free
Barbados,1.0,,,13.73,0,0,1,0,0,0,1.3138115224847,,1.31,free
Belgium,1.0,8.0,33.0,36.2,0,0,0,0,0,0,1.32983978910366,,1.33,free
Belize,1.5,,59.6,11.11,0,0,1,0,0,0,-0.273784619774411,,-0.27,free
Benin,2.0,7.0,38.6,10.84,0,0,0,0,0,1,-0.60802770097789,,-0.61,free
Botswana,2.5,8.0,61.0,11.11,0,0,0,0,0,1,0.947725044959508,,0.95,free
Brazil,2.0,8.0,55.0,9.43,0,1,0,0,0,0,-0.119536146168395,,-0.12,free
Bulgaria,2.0,9.0,29.2,21.67,0,0,0,0,1,0,-0.0693627001462635,,-0.07,free
Canada,1.0,10.0,32.6,24.94,0,0,0,0,0,0,1.9425386763598,,1.94,free
Cape Verde,1.0,,50.4,18.06,0,0,0,0,0,1,0.62250817207334,,0.62,free
Chile,1.0,10.0,52.0,12.66,0,1,0,0,0,0,1.37052415615982,,1.37,free
Costa Rica,1.0,10.0,48.9,36.84,0,1,0,0,0,0,0.483972844799745,,0.48,free
Croatia,1.5,9.0,29.0,20.92,0,0,0,0,1,0,0.120586549241863,,0.12,free
Cyprus,1.0,10.0,,14.29,0,0,0,0,0,0,1.03531833442187,,1.04,free
Czech Republic,1.0,8.0,25.8,16.01,0,0,0,0,1,0,0.422967221441479,,0.42,free
Denmark,1.0,10.0,24.7,37.99,0,0,0,0,0,0,2.37832399823762,,2.38,free
Dominica,1.0,,,18.75,0,0,1,0,0,0,0.714093984669521,,0.71,free
Dominican Republic,2.0,8.0,48.4,17.14,0,1,0,0,0,0,-0.618924194031764,,-0.62,free
El Salvador,2.5,8.0,46.9,16.67,0,1,0,0,0,0,-0.288100008655349,,-0.29,free
Estonia,1.0,9.0,36.0,20.79,0,0,0,0,0,0,0.975601676905677,,0.98,free
Finland,1.0,10.0,26.9,41.5,0,0,0,0,0,0,2.33507215266569,,2.34,free
France,1.0,9.0,32.7,19.57,0,0,0,0,0,0,1.41647265610532,,1.42,free
Germany,1.0,10.0,28.3,31.13,0,0,0,0,0,0,1.7450199359286,,1.75,free
Ghana,1.5,8.0,42.8,7.89,0,0,0,0,0,1,-0.0312243821673234,,-0.03,free
Greece,1.5,10.0,34.3,14.67,0,0,0,0,0,0,0.297696620286781,,0.3,free
Grenada,1.5,,,21.43,0,0,1,0,0,0,0.494549780051937,,0.49,free
Guyana,2.5,6.0,43.2,30.0,0,0,1,0,0,0,-0.58131273572866,,-0.58,free
Hungary,1.0,10.0,30.0,11.14,0,0,0,0,1,0,0.575809064567707,,0.58,free
Iceland,1.0,,,33.33,0,0,0,0,0,0,2.20999797895684,,2.21,free
India,2.5,9.0,36.8,9.18,0,0,0,0,0,0,-0.336544078203674,,-0.34,free
Indonesia,2.5,8.0,37.6,11.64,0,0,0,1,0,0,-0.704519160316826,,-0.7,free
Ireland,1.0,10.0,34.3,15.49,0,0,0,0,0,0,1.6890746126857,,1.69,free
Israel,1.5,10.0,39.2,14.17,1,0,0,0,0,0,0.885728613397935,,0.89,free
Italy,1.5,10.0,36.0,20.17,0,0,0,0,0,0,0.238881472311902,,0.24,free
Jamaica,2.5,9.0,45.5,13.58,0,0,1,0,0,0,-0.40601304633378,,-0.41,free
Japan,1.5,10.0,24.9,12.33,0,0,0,0,0,0,1.28955340570654,,1.29,free
Kiribati,1.0,,,4.35,0,0,0,0,0,0,0.0875538478925123,,0.09,free
"Korea, Rep.",1.5,8.0,31.6,13.71,0,0,0,1,0,0,0.532592110829053,,0.53,free
Latvia,1.5,8.0,36.3,20.0,0,0,0,0,0,0,0.335019285751922,,0.34,free
Liechtenstein,1.0,,,24.0,0,0,0,0,0,0,1.30075897330812,,1.3,free
Lithuania,1.0,10.0,35.8,17.73,0,0,0,0,0,0,0.197262021299463,,0.2,free
Luxembourg,1.0,,,23.33,0,0,0,0,0,0,1.88834922497195,,1.89,free
Mali,2.5,7.0,39.0,10.2,0,0,0,0,0,1,-0.469028822567703,,-0.47,free
Malta,1.0,,,8.7,0,0,0,0,0,0,0.970310606377248,,0.97,free
Marshall Islands,1.0,,,3.03,0,0,0,0,0,0,-0.489121997836928,,-0.49,free
Mauritius,1.5,10.0,,17.1,0,0,0,0,0,1,0.525747143763921,,0.53,free
