ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,Unnamed: 13,corr_round,fh_status
Afghanistan,6.0,0.0,,25.87,0,0,0,0,0,0,-1.55091002130689,,-1.55,not free
Algeria,5.5,2.0,35.3,6.48,1,0,0,0,0,0,-0.434653889660585,,-0.43,not free
Angola,5.5,-2.0,58.6,37.27,0,0,0,0,0,0,-1.29268423917956,,-1.29,not free
Azerbaijan,5.5,-7.0,16.8,11.38,0,0,0,0,0,0,-1.02676724117019,,-1.03,not free
Bahrain,5.5,-7.0,,13.75,1,0,0,0,0,0,0.368444796447932,,0.37,not free
Belarus,6.5,-7.0,28.8,32.53,0,0,0,0,0,0,-0.76558628966688,,-0.77,not free
Brunei Darussalam,5.5,,,,0,0,0,1,0,0,0.44270502041393,,0.44,not free
Cambodia,5.5,2.0,44.2,15.76,0,0,0,1,0,0,-1.15123347866929,,-1.15,not free
Cameroon,6.0,-4.0,44.6,13.89,0,0,0,0,0,1,-1.00036172716248,,-1.0,not free
Chad,6.5,-2.0,39.8,5.16,0,0,0,0,0,1,-1.34688028178994,,-1.35,not free
China,6.5,-7.0,41.5,21.33,0,0,0,1,0,0,-0.568752346006251,,-0.57,not free
"Congo, Dem. Rep.",6.0,5.0,44.4,7.73,0,0,0,0,0,1,-1.42807369539018,,-1.43,not free
"Congo, Rep.",5.5,-4.0,47.3,9.18,0,0,0,0,0,1,-1.11311783391179,,-1.11,not free
Cote d'Ivoire,5.5,0.0,48.4,8.87,0,0,0,0,0,1,-1.19893336491311,,-1.2,not free
Cuba,6.5,-7.0,,43.16,0,1,0,0,0,0,0.128067682895955,,0.13,not free
"Egypt, Arab Rep.",5.5,-3.0,32.1,3.68,1,0,0,0,0,0,-0.579147171136404,,-0.58,not free
Equatorial Guinea,7.0,-5.0,,6.0,0,0,0,0,0,1,-1.60663186696004,,-1.61,not free
Eritrea,7.0,-7.0,,22.0,0,0,0,0,0,1,-0.252516231830349,,-0.25,not free
Gabon,5.5,3.0,41.5,16.11,0,0,0,0,0,1,-0.856972967867437,,-0.86,not free
Guinea,6.5,-1.0,43.3,,0,0,0,0,0,1,-1.16571611754395,,-1.17,not free
"Iran, Islamic Rep.",6.0,-7.0,38.3,2.8,1,0,0,0,0,0,-0.60091725944491,,-0.6,not free
Iraq,5.5,0.0,38.3,25.45,1,0,0,0,0,0,-1.46269721683617,,-1.46,not free
Jordan,5.5,-3.0,37.7,8.48,1,0,0,0,0,0,0.349111855394246,,0.35,not free
Kazakhstan,5.5,-6.0,30.9,12.34,0,0,0,0,0,0,-0.937653190163128,,-0.94,not free
"Korea, Dem. Rep.",7.0,-9.0,,20.09,0,0,0,1,0,0,-1.56317616367187,,-1.56,not free
Kyrgyz Republic,5.5,1.0,33.5,25.56,0,0,0,0,0,0,-1.1748554476416,,-1.17,not free
Lao PDR,6.5,-7.0,32.6,25.22,0,0,0,1,0,0,-1.2060545403137,,-1.21,not free
Libya,7.0,-7.0,,7.69,1,0,0,0,0,0,-0.90475572384913,,-0.9,not free
Mauritania,5.5,-2.0,39.0,19.87,0,0,0,0,0,1,-0.53783125919205,,-0.54,not free
Myanmar,7.0,-6.0,,,0,0,0,1,0,0,-1.68632470526966,,-1.69,not free
Oman,5.5,-8.0,,9.09,1,0,0,0,0,0,0.473768772106886,,0.47,not free
Qatar,5.5,-10.0,41.1,0.0,1,0,0,0,0,0,1.14895376106147,,1.15,not free
Russian Federation,5.5,4.0,43.7,11.47,0,0,0,0,0,0,-0.917828992213867,,-0.92,not free
Rwanda,5.5,-3.0,46.7,50.94,0,0,0,0,0,1,-0.164223000498563,,-0.16,not free
Saudi Arabia,6.5,-10.0,,0.0,1,0,0,0,0,0,-0.025977100826796,,-0.03,not free
Somalia,7.0,0.0,,8.2,0,0,0,0,0,1,-1.81305234285617,,-1.81,not free
Sudan,7.0,-4.0,,16.84,0,0,0,0,0,1,-1.32460522370645,,-1.32,not free
Swaziland,6.0,-9.0,50.7,22.11,0,0,0,0,0,1,-0.310528371310804,,-0.31,not free
Syrian Arab Republic,6.5,-7.0,,12.4,1,0,0,0,0,0,-0.925377360352249,,-0.93,not free
Tajikistan,5.5,-3.0,33.6,19.59,0,0,0,0,0,0,-1.00613513848042,,-1.01,not free
Tunisia,6.0,-4.0,40.8,19.93,1,0,0,0,0,0,0.0054506075944962,,0.01,not free
Turkmenistan,7.0,-9.0,40.8,,0,0,0,0,0,0,-1.43503865919307,,-1.44,not free
United Arab Emirates,5.5,-8.0,,22.5,1,0,0,0,0,0,1.02444608513849,,1.02,not free
Uzbekistan,7.0,-9.0,36.7,16.36,0,0,0,0,0,0,-1.07177891166735,,-1.07,not free
Vietnam,6.0,-7.0,37.8,25.76,0,0,0,1,0,0,-0.656128385635008,,-0.66,not free
"Yemen, Rep.",5.5,-2.0,37.7,0.73,1,0,0,0,0,0,-0.808839779566311,,-0.81,not free
Zimbabwe,6.0,1.0,50.1,18.15,0,0,0,0,0,1,-1.38212088731855,,-1.38,not free
